# 3082-2 : 78 brins;;;;;;;;;;;;;;
etape;Case;Brins;Départ;Arrivée;Rotation;;;;;;;;;
1;1;3;42;40;P;;;;;;;;;
2;2;1;39;43;Q;;;;;;;;;
3;3;2;44;38;P;;;;;;;;;
4;4;1;37;45;Q;;;;;;;;;
5;5;2;46;36;P;;;;;;;;;
6;6;1;1;31;Q;;;;;;;;;
7;7;1;30;2;P;;;;;;;;;
8;8;2;3;29;Q;;;;;;;;;
9;9;1;28;4;P;;;;;;;;;
10;10;2;5;27;Q;;;;;;;;;
11;11;2;32;30;P;;;;;;;;;
12;12;2;29;33;Q;;;;;;;;;
13;13;1;34;28;P;;;;;;;;;
14;14;2;27;35;Q;;;;;;;;;
15;15;1;36;26;P;;;;;;;;;
16;16;1;41;21;Q;;;;;;;;;
17;17;1;20;42;P;;;;;;;;;
18;18;2;43;19;Q;;;;;;;;;
19;19;1;18;44;P;;;;;;;;;
20;20;2;45;17;Q;;;;;;;;;
21;21;2;22;20;P;;;;;;;;;
22;22;2;19;23;Q;;;;;;;;;
23;23;1;24;18;P;;;;;;;;;
24;24;2;17;25;Q;;;;;;;;;
25;25;1;26;16;P;;;;;;;;;
26;26;1;31;11;Q;;;;;;;;;
27;27;1;10;32;P;;;;;;;;;
28;28;2;33;9;Q;;;;;;;;;
29;29;1;8;34;P;;;;;;;;;
30;30;2;35;7;Q;;;;;;;;;
31;31;2;12;10;P;;;;;;;;;
32;32;2;9;13;Q;;;;;;;;;
33;33;1;14;8;P;;;;;;;;;
34;34;2;7;15;Q;;;;;;;;;
35;35;1;16;6;P;;;;;;;;;
36;36;1;21;1;Q;;;;;;;;;
37;37;2;50;22;P;;;;;;;;;
38;38;1;23;49;Q;;;;;;;;;
39;39;2;48;24;P;;;;;;;;;
40;40;1;25;47;Q;;;;;;;;;
41;41;3;2;50;P;;;;;;;;;
42;42;2;49;3;Q;;;;;;;;;
43;43;1;4;48;P;;;;;;;;;
44;44;2;47;5;Q;;;;;;;;;
45;45;1;6;46;P;;;;;;;;;
46;46;2;11;41;Q;;;;;;;;;
47;47;1;40;12;P;;;;;;;;;
48;48;2;13;39;Q;;;;;;;;;
49;49;1;38;14;P;;;;;;;;;
50;50;2;15;37;Q;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
