etape;case;Brins;départ;Arrivée;Sens
1;1;3;58;56;P
2;2;1;55;59;Q
3;3;2;60;54;P
4;4;1;53;61;Q
5;5;1;1;41;Q
6;6;1;40;2;P
7;7;2;3;39;Q
8;8;1;38;4;P
9;9;3;2;64;P
10;10;1;63;3;Q
11;11;2;4;62;P
12;12;1;61;5;Q
13;13;1;9;49;Q
14;14;1;48;10;P
15;15;2;11;47;Q
16;16;1;46;12;P
17;17;3;10;8;P
18;18;1;7;11;Q
19;19;2;12;6;P
20;20;1;5;13;Q
21;21;1;17;57;Q
22;22;1;56;18;P
23;23;2;19;55;Q
24;24;1;54;20;P
25;25;3;18;16;P
26;26;1;15;19;Q
27;27;2;20;14;P
28;28;1;13;21;Q
29;29;1;25;1;Q
30;30;1;64;26;P
31;31;2;27;63;Q
32;32;1;62;28;P
33;33;3;26;24;P
34;34;1;23;27;Q
35;35;2;28;22;P
36;36;1;21;29;Q
37;37;1;33;9;Q
38;38;2;8;34;P
39;39;1;35;7;Q
40;40;2;6;36;P
41;41;2;34;32;P
42;42;1;31;35;Q
43;43;2;36;30;P
44;44;1;29;37;Q
45;45;1;41;17;Q
46;46;2;16;42;P
47;47;1;43;15;Q
48;48;2;14;44;P
49;49;2;42;40;P
50;50;1;39;43;Q
51;51;2;44;38;P
52;52;1;37;45;Q
53;53;2;49;25;Q
54;54;1;24;50;P
55;55;2;51;23;Q
56;56;1;22;52;P
57;57;2;50;48;P
58;58;2;47;51;Q
59;59;1;52;46;P
60;60;2;45;53;Q
61;61;1;57;33;Q
62;62;1;32;58;P
63;63;2;59;31;Q
64;64;1;30;60;P
